QD,numjobs,fuse_cpu,fio_cpu,IOPS(k),BW(MiB/s),min(us),max(us),avg(us),stdev(us),cpu_usr(%),cpu_sys(%),cpu_ctx,cpu_majf,cpu_minf
1,1,x,x,27.5,107,8.0,4369.0,35.79,36.62,9.29,50.07,262103.0,0.0,11.0
2,1,x,x,53.8,210,5.0,1514.0,36.71,17.44,10.31,66.67,130127.0,0.0,12.0
3,1,x,x,99.4,388,5.0,518.0,29.76,15.68,12.3,78.25,40252.0,0.0,9.0
4,1,x,x,155,605,6.0,943.0,25.46,9.96,16.43,82.21,3171.0,0.0,9.0
5,1,x,x,159,620,7.0,1047.0,31.13,11.13,15.21,84.67,176.0,0.0,9.0
6,1,x,x,141,551,9.0,2078.0,42.14,23.32,15.77,80.36,7816.0,0.0,10.0
7,1,x,x,154,602,11.0,925.0,45.09,16.2,13.17,86.65,171.0,0.0,8.0
8,1,x,x,155,604,13.0,1069.0,51.35,18.77,14.88,84.95,142.0,0.0,10.0
8,1,x,x,152,593,13.0,1074.0,52.28,18.8,15.19,84.58,115.0,0.0,9.0
16,1,x,x,150,588,33.0,814.0,105.92,24.88,14.19,85.7,71.0,0.0,8.0
32,1,x,x,148,580,21.0,1903.0,215.22,43.05,11.04,88.05,1758.0,0.0,9.0
64,1,x,x,150,587,29.0,1430.0,425.41,61.36,13.25,86.64,80.0,0.0,9.0
128,1,x,x,152,595,23.0,2313.0,839.58,72.85,14.59,85.35,82.0,0.0,9.0
256,1,x,x,150,587,19.0,2921.0,1700.37,155.16,13.95,85.65,869.0,0.0,10.0
512,1,x,x,151,591,100.0,4401.0,3379.81,186.16,14.96,85.04,83.0,0.0,9.0
1024,1,x,x,155,604,23.0,11579.0,6611.79,516.21,16.76,83.13,65.0,0.0,9.0
